AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
DW,187,UCR,ACR Aero-Charter Airlines,Ukraine
E2,837,KMP,Kampuchea Airlines,Cambodia
E4,532,RSO,Aero Asia International,Pakistan
E6,417,BRC,Bringer Air Cargo,Brazil
E8,789,ELG,ALPI Eagles,Italy
E9,766,TRJ,AJT Air International,Russia
EB,591,EWW,Emery Worldwide,United States
ED,484,ABQ,Airblue,Pakistan
EG,688,JAA,Japan Asia Airways,Japan
EH,156,SET,SAETA-Soc.Ecuatoriana de Transp.Aereos,Ecuador
EL,768,ANK,Air Nippon,Japan
EM,464,CFS,Empire Airlines,United States
EO,663,,Demavia Airlines,Belgium
EQ,269,TAE,TAME-Linea Aerea del Ecuador,Ecuador
ET,71,ETH,Ethiopian Airlines,Ethiopia
EV,862,CAA,Atlantic Southeast Airlines,United States
EY,607,ETD,Etihad Airways Crystal Cargo,Abu Dhabi
F4,774,SHQ,Shanghai Airlines Cargo,China PRC
F6,425,FCC,First Cambodia Airlines,Cambodia
FB,340,FBF,Fine Air Services,United States
FD,844,CFE,Cityflyer,United Kingdom
FG,255,AFG,Ariana Afghan Airlines,Afghanistan
FJ,260,FJI,Air Pacific,Fiji
FL,332,TRS,AirTran,United States
FM,825,CSH,Shanghai Airlines,China PRC
FS,278,STU,STAF Airlines,Argentina
FU,659,LIT,Air Littoral,France
FX,23,FDX,FedEx Express,United States
G4,268,AAY,Allegiant Air,United States
GA,126,GIA,Garuda Indonesia,Indonesia
GB,832,ABX,ABX Air,United States
GD,838,TEJ,TAESA - Transportes Aereos Ejecutivos,Mexico
GF,72,GFA,Gulf Air,Bahrain
GL,631,GRL,Air Greenland,Greenland
GN,185,AGN,Air Gabon,Gabon
GO,333,GOE,GO,United Kingdom
GT,171,GBL,GB Airways,United Kingdom
GV,248,RIG,Riga Airlines,Latvia
GY,13,GBK,Gabon Airlines,Gabon
H7,770,LFA,Air Alfa,Turkey
HA,173,HAL,Hawaiian Airlines,United States
HH,652,ICB,Islandsflug,Iceland
HL,357,GAA,Business Express (Delta Connection),United States
HP,401,AWE,America West Airlines,United States
HS,990,HIL,Highland Air,Sweden
HU,880,CHH,Hainan Airlines,China PRC
HX,99,HAS,Hamburg Airlines,Germany
HZ,598,SHU,SAT Airlines,Russia
IA,73,IAW,Iraqi Airways,Iraq
IB,75,IBE,Iberia,Spain
IE,193,SOL,Solomon Airlines,Solomon Is
IH,759,FCN,Falcon Air,Sweden
II,175,CSQ,IBC Airways Inc,United States
IK,166,ITX,Imair Airline,Azerbaijan
IP,312,JOL,Atyrau Airways,Kazakhstan
IR,96,IRA,Iran Air,Iran
IT,90,KFR,Kingfisher Airlines,India
IW,646,MIN,AOM-Minerve,France
IY,635,IYE,Yemenia Airways,Yemen
IZ,238,AIZ,Arkia-Israeli Airlines,Israel
J3,325,PLR,Northwestern Air Lease,Canada
J7,601,CVC,Centre-Avia Airlines,Russia
JA,995,BON,B&H Airlines,Bosnia-Herzegovina
JF,510,LAB,Lab Flying Service,United States
JH,264,NES,Nordeste-Linhas Aereas Regionais,Brazil
JJ,957,TAM,TAM Linhas Aereas,Brazil
JL,131,JAL,Japan Airlines,Japan
JN,812,XLA,XL Airways,United Kingdom
JP,165,ADR,Adria Airways,Slovenia
JQ,41,JST,Jetstar,Australia
JS,120,KOR,Air Koryo,North Korea
JV,632,BLS,Bearskin Airlines,United States
JX,693,JEC,Jett8 Airlines Cargo,Singapore
K2,758,KGA,Kyrgyzstan Airlines,Kyrgyzstan
K5,225,JND,Air East Africa,Kenya
K7,840,IKT,Sakha Avia,Russia
K9,470,SGK,Skyward Aviation,Canada
KB,787,DRK,Druk Air,Bhutan
KD,678,KDA,Kendell Airlines,Australia
KF,142,BLF,Blue1,Finland
KG,854,GTV,Aerogaviota,Cuba
KJ,436,LAJ,British Mediterranean Airways,United Kingdom
LD,288,AHK,Air Hong Kong,Hong Kong
LF,247,,Linjeflyg,Sweden
LH,20,GEC,Lufthansa Cargo,Germany
LI,140,LIA,LIAT (1974),Antigua & Barbuda
LK,40,LXR,Air Luxor,Portugal
LM,119,ALM,ALM Airline,Neth. Antilles
LO,80,LOT,LOT Polish Airlines,Poland
LQ,228,GNC,Air Guinea Cargo,Equatorial Guinea
LV,639,LBC,Albanian Airlines,Albania
LW,568,ANV,Pacific Wings,United States
LY,114,ELY,El Al Israel Airlines,Israel
M3,549,TUS,ABSA Cargo Airline,Brazil
M6,810,AJT,Amerijet,United States
M9,11,MSI,Motor Sich JSC Airlines,Ukraine
MB,716,MNB,MNG Airlines,Turkey
MD,258,MDG,Air Madagascar,Madagascar
MF,731,CXA,Xiamen Airlines,China PRC
MI,629,SLK,SilkAir,Singapore
MK,239,MAU,Air Mauritius,Mauritius
ML,802,AEK,Aero Costa Rica,Peru
MN,161,CAW,Kulula.com,South Africa
MP,129,MPH,Martinair,Netherlands
MS,77,MSR,Egyptair,Egypt
MT,885,JMC,jmc airlines,United Kingdom
MV,904,RML,Armenian International Airways,Armenia
MY,865,MAA,Mas Air,Mexico
N6,929,ACQ,Aero Continente,Peru
N7,504,JEV,Lagun Air,Spain
NA,416,MUA,National Airlines,United States
NC,345,NAC,Northern Air Cargo,United States
NG,231,LDA,Lauda Air,Austria
NH,205,ANA,All Nippon Airways,Japan
NK,487,NKS,Spirit Airlines,United States
NM,445,NZM,Mount Cook,New Zealand
NQ,819,DVU,Orbi Georgian Airlines,Georgia
NU,353,JTA,Japan TransOcean Air,Japan
NW,12,NWA,Northwest Airlines,United States
NY,882,FNA,Air Iceland,Iceland
NZ,86,ANZ,Air New Zealand,New Zealand
OB,562,ASZ,Astrakhan Airlines,Russia
OG,937,AGU,Air Guadaloupe,Guadaloupe
OK,64,CSA,Czech Airlines,Czech Republic
OM,289,MGL,MIAT-Mongolian Airlines,Mongolia
OO,302,SKW,SkyWest Airlines,United States
OS,257,AUA,Austrian Cargo,Austria
OT,246,VAT,Avant Airlines,Chile
OV,960,ELL,Estonian Air,Estonia
OZ,988,AAR,Asiana Airlines,South Korea
P4,987,PFC,Pacific International Airlines,Panama
P6,356,MUI,Trans Air,United States
PB,967,SPR,Provincial Airlines,Canada
PC,677,FAJ,Air Fiji,Fiji
PE,667,AEL,Air Europe,Italy
PF,400,PNW,Palestinian Airlines,Palestine
PH,162,PAO,Polynesian Airlines,Samoa
PK,214,PIA,Pakistan International Airlines,Pakistan
PO,403,PAC,Polar Air Cargo,United States
PS,566,AUI,Ukraine International Airlines,Ukraine
PW,31,PRF,Precision Air,Tanzania
PX,656,ANG,Air Niugini,Papua New Guinea
PZ,692,LAP,TAM Mercosur,Paraguay
Q5,519,MLA,40 Mile Air,United States
Q9,151,ITB,Interbrasil Star,Brazil
QA,723,CBE,Aerovias Caribe,Mexico
QF,81,QFA,Qantas Freight,Australia
QK,983,ARN,Air Nova/Air Canada Regional Airlines,Canada
QM,167,AML,Air Malawi,Malawi
QO,976,MPX,Aeromexpress Cargo,Mexico
QR,157,QTR,Qatar Airways Cargo,Qatar
QU,673,UGA,Uganda Airlines,Uganda
QV,627,LAO,Lao Airways,Laos
QX,481,QXE,Horizon Airlines,United States
R2,291,ORB,Orenair,Russia
R3,956,RME,Armenian Airlines,Armenia
RA,285,RNA,Royal Nepal Airlines,Nepal
RC,767,FLI,Atlantic Airways,Faroe Is
RG,42,VRG,VARIG Brazilian Airlines,Brazil
RK,92,RKA,Air Afrique,Ivory Coast
RN,836,EUL,Euralair International,France
RO,281,ROT,TAROM-Romanian Air Transport,Romania
RV,338,RVV,Reeve Aleutian Airways,United States
RX,594,RWG,Redwing Airways,United States
SP,331,SAT,SATA - Air Acores,Azores
SS,923,CRL,Corsair,France
SU,507,RCF,Aeroflot-Cargo,Russia
SW,186,NMB,Air Namibia,Namibia
SZ,785,CXN,China Southwest Airlines,China PRC
T3,467,EZE,Eastern Airways,United Kingdom
T5,542,TUA,Turkmenistan Airlines,Turkmenistan
T7,839,TLA,Transaer,Ireland
TA,202,TAI,TACA International Airlines/Groupo TACA,El Salvador
TF,276,SCW,Malmo Aviation,Sweden
TH,539,TSE,Transmile Air Services,Malaysia
TL,270,TMA,Trans Mediterranean Airways,Lebanon
